,type_post,username,name,following_count,follower_count,user_id,post_id,caption,timestamp,date_post,comment_count,like_count,retweet_count,user_likes,video_view,display_url,is_video,link,link.1,Brand,Likes_TW,Keyword/Hashtag,replies_count,Owner ID,source,ID
40569,,fadhlillah_rahmadinii,FADHLILLAH RAHMADINI,4355,2007,','1703693301717522299,'#trohwbacksaturday  #instagram  #ootd  #ggeneration  #travel  #instatraveling,30-01-18 19:41,,2.0,127.0,,,,,,https://www.instagram.com/p/BekvAgHFdd7,,GG,,ggeneration,,,IG,
40570,,bintari_dhee,Dyah Ratna Bintari,2108,2160,','1703673568623377086,'#urbangigs #ggeneration #urbangigskudus,30-01-18 19:02,,0.0,32.0,,,,,,https://www.instagram.com/p/BekqhWPBLq-,,GG,,ggeneration,,,IG,
40571,,b.m.w.m.power,Bmw _lover,891,2274,','1697299820682546618,'#BMW #Bmwlover #BmwMpower #Mpower #Ggeneration  #needforspeed #payback  #bmwm5,21-01-18 23:58,,0.0,36.0,,,,,,https://www.instagram.com/p/BeOBTG5Hg26,,GG,,ggeneration,,,IG,
40572,,areesve_candidath,Areesve Candidath,2054,2185,','1686948479097879040,"'RockinkRoll all night ,,, #tombo_kangen #ngeslankramerame  #tribute_slank  #candidath_peacenroll #coverband  #akarasemsemarang #slankerssemarang  #basissfcsemarang  #anakmalam_semarang #larahan_semarang #kansas_semarang #blackbox_semarang #urban_gigs",07-01-18 17:12,,16.0,243.0,,,,,,https://www.instagram.com/p/BdpPrQzA7oA,,GG,,urban_gigs,,,IG,
40573,,rizky_dwi72,Rizky Dwi,2780,1119,','1686360887046377601,'MuralðŸŽ¨ðŸŽ­ #urban_gigs #urbangigspadang #hotelbumiminangpadang,06-01-18 21:45,,0.0,54.0,,,,,,https://www.instagram.com/p/BdnKErDgxCB,,GG,,urban_gigs,,,IG,
40574,,lifeofhanaps,Rizkihanafi,4590,1521,','1703485631416830213,"'Jangan gemuk, nanti kamu berat. Lebih baik kita olahraga bareng sajah. Iki 1997 Okeesipmantap - - - - - - #ohmyggoods #generationgxpublicculture #tenangitumahal #semerdekagua #topmodel #model #lookbookindonesia #lookbookindo #fasionweek #photography #lifestyle #photoshooting #fashionblogger #vscocam #canon #bandung #indonesia",30-01-18 12:48,,9.0,315.0,,,,,,https://www.instagram.com/p/Bej_ygElQkF,,GG,,OhMyGGoods,,,IG,
40575,,_generation_g,Generation_G,852,714,','1700592864105633050,"'Going for a play date or hangout, outfit dari #GenerationGxPublicCulture bisa banget lo mix and match untuk dapetin look yang stylish, as seen on @Bananalace right here, go play with graphics! #OhMyGGoods",26-01-18 13:01,,1.0,259.0,,,,,,https://www.instagram.com/p/BeZuDMklJUa,,GG,,OhMyGGoods,,,IG,
40576,,lifeofhanaps,Rizkihanafi,4590,1521,','1697165094017256284,'Sekian dan terimakasihðŸ’© - - - - - - - - - - - #ohmyggoods #tenangitumahal #semerdekagua #topmodel #model #lookbookindonesia #lookbookindo #fasionweek #photography #lifestyle #photoshooting #fashionblogger #vscocam #canon #bandung #indonesia,21-01-18 19:31,,19.0,325.0,,,,,,https://www.instagram.com/p/BeNiqk6F0tc,,GG,,OhMyGGoods,,,IG,
40577,,eviotantinanita,P i o k | tÃ¡n shÅ« yÃ¡o è°­ä¹¦ ç‘¶ |,2178,2940,','1691407753003445154,'. roses are red violets are blue if i had a brick id throw it at youâœ¨ . . ðŸŽž @ðŸ‘» #90s #PublicCulture #ohMyGGoods,13-01-18 20:52,,0.0,90.0,,,,,,https://www.instagram.com/p/Bd5FmPQHKui,,GG,,OhMyGGoods,,,IG,
40578,,_generation_g,Generation_G,852,714,','1690455058473621009,"'Taking care of leather goods might be tricky, especially when it comes to bag! Tapi jangan khawatir, ikuti tips berikut ini untuk menjaga kebersihan tas kulit lo. #OhMyGGoods #GenerationGxPublicCulture",12-01-18 13:19,,0.0,87.0,,,,,,https://www.instagram.com/p/Bd1s-tVFRYR,,GG,,OhMyGGoods,,,IG,
